"4bf58dd8d48988d117941735","CategoryGroup","2010-05-20 19:30:32.000000","2019-02-17 08:11:20.809000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d1d1941735","CategoryGroup","2010-05-20 19:30:32.000000","2022-09-17 01:49:59.323000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d116941735","CategoryGroup","2010-05-20 19:30:32.000000","2022-09-04 02:48:58.870000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d1ed931735","CategoryGroup","2010-05-20 19:30:32.000000","2014-03-13 18:08:55.000000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d118941735","CategoryGroup","2010-05-20 19:30:32.000000","2023-01-27 03:26:32.905000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d108941735","CategoryGroup","2010-05-20 19:30:32.000000","2023-04-03 17:25:26.843000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d1e2931735","CategoryGroup","2010-05-20 19:30:32.000000","2021-12-19 02:09:47.299000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d1c1941735","CategoryGroup","2010-05-20 19:30:32.000000","2019-10-12 13:11:21.716000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d110951735","CategoryGroup","2010-05-20 19:30:32.000000","2017-05-07 20:52:35.807000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d128941735","CategoryGroup","2010-05-20 19:30:32.000000","2011-08-09 21:31:23.000000"
"id","type","timestamp","lastModified"
"4bf58dd8d48988d1be941735","CategoryGroup","2010-05-20 19:30:32.000000","2020-08-14 15:12:51.261000"
"id","type","timestamp","lastModified"
"0000000001000000003f8a2a","City","1970-01-01 00:00:00.000000","2020-08-14 15:12:51.261000"
"id","type","timestamp","lastModified"
"0000000000000000000022c5","Neighborhood","1970-01-01 00:00:00.000000","2021-07-14 18:41:24.683000"
"id","type","timestamp","lastModified"
"000000000000000000002e77","Neighborhood","1970-01-01 00:00:00.000000","2023-01-27 03:26:32.905000"
"id","type","timestamp","lastModified"
"0000000001000000004e37a7","City","1970-01-01 00:00:00.000000","2022-10-26 02:26:45.689000"
"id","type","timestamp","lastModified"
"0000000001000000004e4165","City","1970-01-01 00:00:00.000000","2020-09-22 19:52:20.543000"
"id","type","timestamp","lastModified"
"000000000000000000001ddf","Neighborhood","1970-01-01 00:00:00.000000","2019-10-12 13:11:21.716000"
"id","type","timestamp","lastModified"
"000000000000000000001de2","Neighborhood","1970-01-01 00:00:00.000000","2016-11-03 01:48:16.227000"
"id","type","timestamp","lastModified"
"0000000001000000004748a6","City","1970-01-01 00:00:00.000000","2024-10-15 23:55:00.089000"
"id","type","timestamp","lastModified"
"000000000100000000489a07","City","1970-01-01 00:00:00.000000","2018-08-18 15:38:14.103000"
"id","type","timestamp","lastModified"
"0000000001000000004e4ef0","City","1970-01-01 00:00:00.000000","2024-08-21 01:13:45.014000"
"id","type","timestamp","lastModified"
"000000000000000000001da3","Neighborhood","1970-01-01 00:00:00.000000","2017-06-04 20:04:22.527000"
"id","type","timestamp","lastModified"
"000000000000000000002694","Neighborhood","1970-01-01 00:00:00.000000","2021-06-18 05:08:56.199000"
"id","type","timestamp","lastModified"
"0000000001000000004df1fb","City","1970-01-01 00:00:00.000000","2021-12-19 02:09:47.299000"
"id","type","timestamp","lastModified"
"00000000000000000002e3e7","Neighborhood","1970-01-01 00:00:00.000000","2018-08-31 23:57:52.081000"
"id","type","timestamp","lastModified"
"0000000000000000000023e7","Neighborhood","1970-01-01 00:00:00.000000","2024-10-15 23:55:00.089000"
"id","type","timestamp","lastModified"
"000000000000000000000e14","Neighborhood","1970-01-01 00:00:00.000000","2021-10-27 21:41:45.500000"
"id","type","timestamp","lastModified"
"000000000100000000481dbe","City","1970-01-01 00:00:00.000000","2021-06-18 05:08:56.199000"
"id","type","timestamp","lastModified"
"000000000000000000001dc6","Neighborhood","1970-01-01 00:00:00.000000","2022-10-23 13:12:51.255000"
"id","type","timestamp","lastModified"
"000000000000000000001e26","Neighborhood","1970-01-01 00:00:00.000000","2011-09-11 17:56:29.000000"
"id","type","timestamp","lastModified"
"000000000100000000481edb","City","1970-01-01 00:00:00.000000","2017-05-13 19:32:28.859000"
"id","type","timestamp","lastModified"
"000000000000000000001db0","Neighborhood","1970-01-01 00:00:00.000000","2022-12-09 23:16:30.354000"
"id","type","timestamp","lastModified"
"000000000000000000001e13","Neighborhood","1970-01-01 00:00:00.000000","2019-12-07 03:08:34.621000"
"id","type","timestamp","lastModified"
"0000000001000000004e2fb1","City","1970-01-01 00:00:00.000000","2023-08-17 20:42:36.403000"
"id","type","timestamp","lastModified"
"000000000000000000001db8","Neighborhood","1970-01-01 00:00:00.000000","2020-02-12 18:54:19.030000"
"id","type","timestamp","lastModified"
"000000000000000000001dd1","Neighborhood","1970-01-01 00:00:00.000000","2019-12-08 23:13:57.187000"
"id","type","timestamp","lastModified"
"000000000000000000001dd6","Neighborhood","1970-01-01 00:00:00.000000","2019-01-10 18:22:44.769000"
"id","type","timestamp","lastModified"
"000000000000000000000c1d","Neighborhood","1970-01-01 00:00:00.000000","2020-01-15 14:03:57.778000"
"id","type","timestamp","lastModified"
"000000000000000000001dc1","Neighborhood","1970-01-01 00:00:00.000000","2024-07-26 20:06:34.570000"
"id","type","timestamp","lastModified"
"000000000000000000012d50","Neighborhood","1970-01-01 00:00:00.000000","2023-08-09 01:32:48.423000"
"id","type","timestamp","lastModified"
"00000000000000000000c8cc","Neighborhood","1970-01-01 00:00:00.000000","2017-05-13 19:32:28.859000"
"id","type","timestamp","lastModified"
"000000000000000000021955","Neighborhood","1970-01-01 00:00:00.000000","2019-03-29 21:08:29.543000"
"id","type","timestamp","lastModified"
"0000000000000000000219bb","Neighborhood","1970-01-01 00:00:00.000000","2017-07-30 21:34:21.351000"
"id","type","timestamp","lastModified"
"00000000010000000057af71","City","1970-01-01 00:00:00.000000","2016-08-02 03:57:45.879000"
"id","type","timestamp","lastModified"
"0000000001000000004df5b9","City","1970-01-01 00:00:00.000000","2021-10-22 12:53:15.557000"
"id","type","timestamp","lastModified"
"000000000000000000001ddb","Neighborhood","1970-01-01 00:00:00.000000","2016-03-15 03:52:55.891000"
"id","type","timestamp","lastModified"
"000000000000000000002ca0","Neighborhood","1970-01-01 00:00:00.000000","2016-08-02 03:57:45.879000"
"id","type","timestamp","lastModified"
"000000000000000000001dcb","Neighborhood","1970-01-01 00:00:00.000000","2017-02-20 01:58:25.387000"
"id","type","timestamp","lastModified"
"000000000000000000003294","Neighborhood","1970-01-01 00:00:00.000000","2018-08-11 20:30:20.366000"
"id","type","timestamp","lastModified"
"000000000000000000002285","Neighborhood","1970-01-01 00:00:00.000000","2018-12-13 15:54:24.412000"
"id","type","timestamp","lastModified"
"0000000000000000000023d9","Neighborhood","1970-01-01 00:00:00.000000","2017-05-17 04:24:40.974000"
"id","type","timestamp","lastModified"
"00000000010000000048ce49","City","1970-01-01 00:00:00.000000","2011-08-09 21:31:23.000000"
"id","type","timestamp","lastModified"
"0000000001000000004595dd","City","1970-01-01 00:00:00.000000","2021-07-14 18:41:24.683000"
"id","type","timestamp","lastModified"
"0000000001000000003f8a2f","City","1970-01-01 00:00:00.000000","2021-10-27 21:41:45.500000"
"id","type","timestamp","lastModified"
"000000000000000000001e06","Neighborhood","1970-01-01 00:00:00.000000","2019-10-14 00:31:34.780000"
"id","type","timestamp","lastModified"
"0000000001000000004225c5","City","1970-01-01 00:00:00.000000","2023-01-27 03:26:32.905000"
"id","type","timestamp","lastModified"
"000000000100000000509bf4","City","1970-01-01 00:00:00.000000","2018-08-11 20:30:20.366000"
"id","type","timestamp","lastModified"
"0000000001000000004f5efa","City","1970-01-01 00:00:00.000000","2022-12-04 00:32:06.971000"
"id","type","timestamp","lastModified"
"0000000000000000000225a3","Neighborhood","1970-01-01 00:00:00.000000","2020-08-14 15:12:51.261000"
"id","type","timestamp","lastModified"
"0000000001000000003f2fa3","City","1970-01-01 00:00:00.000000","2023-07-26 20:51:07.352000"
"id","type","timestamp","lastModified"
"000000000000000000001dd0","Neighborhood","1970-01-01 00:00:00.000000","2019-10-03 18:13:41.177000"
"id","type","timestamp","lastModified"
"000000000000000000001db9","Neighborhood","1970-01-01 00:00:00.000000","2019-06-23 18:11:17.859000"
"id","type","timestamp","lastModified"
"000000000000000000001dcf","Neighborhood","1970-01-01 00:00:00.000000","2022-02-15 21:06:20.228000"
"id","type","timestamp","lastModified"
"0000000000000000000022c3","Neighborhood","1970-01-01 00:00:00.000000","2017-11-19 23:17:01.587000"
"id","type","timestamp","lastModified"
"0000000001000000005e3293","City","1970-01-01 00:00:00.000000","2022-09-17 01:49:59.323000"
"id","type","timestamp","lastModified"
"000000000000000000011927","Neighborhood","1970-01-01 00:00:00.000000","2018-07-24 22:49:54.316000"
"id","type","timestamp","lastModified"
"0000000001000000004e4185","City","1970-01-01 00:00:00.000000","2024-09-28 18:47:02.476000"
