"53b5c968498e58dfee7ff27e","2014-07-03 21:21:44.000000","checkin","-240","4df5fac0d22d8c5470e5bbd4","East River Ferry","https://foursquare.com/v/east-river-ferry/4df5fac0d22d8c5470e5bbd4","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"53b5c958498e08b330768c25","2014-07-03 21:21:28.000000","checkin","-240","4df8d0e062e1bb821b5f9615","East River Ferry - Hunters Point South/Long Island City Terminal","https://foursquare.com/v/east-river-ferry--hunters-point-southlong-island-city-terminal/4df8d0e062e1bb821b5f9615","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"53b43bf2498ea8df8993c362","2014-07-02 17:05:54.000000","checkin","-240","4fda0cd2e4b0318de7d3c85d","Hibachi Heaven","https://foursquare.com/v/hibachi-heaven/4fda0cd2e4b0318de7d3c85d","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"53b3653c498ec3eda7330783","2014-07-02 01:49:48.000000","checkin","-240","4a89c289f964a520ed0820e3","Duane Reade","https://foursquare.com/v/duane-reade/4a89c289f964a520ed0820e3","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"53b2e5b6498ebacf3ea18230","2014-07-01 16:45:42.000000","checkin","-240","5194f303498e4b83b7c2169a","Medows CPA","https://foursquare.com/v/medows-cpa/5194f303498e4b83b7c2169a","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"53b1fc4a498eb398a992e639","2014-07-01 00:09:46.000000","checkin","-240","4b4b90fbf964a5207da026e3","Citiwide Self Storage","https://foursquare.com/v/citiwide-self-storage/4b4b90fbf964a5207da026e3","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"53b1a9ec498e4cb439bd45b5","2014-06-30 18:18:20.000000","checkin","-240","4fb53810e4b0fbb02dbaac1a","Filicori Zecchini","https://foursquare.com/v/filicori-zecchini/4fb53810e4b0fbb02dbaac1a","0"
"id","createdAt","type","shout","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
