"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4ccd96f072106dcb38bda399","2010-10-31 16:18:56.000000","checkin","-240","4b8aadc9f964a520577932e3","Masala Wok","https://foursquare.com/v/masala-wok/4b8aadc9f964a520577932e3","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4ccd96ddba79a1cd933842cb","2010-10-31 16:18:37.000000","checkin","-240","4b8aadc9f964a520577932e3","Masala Wok","https://foursquare.com/v/masala-wok/4b8aadc9f964a520577932e3","0"
"id","createdAt","type","shout","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4ccc7c30b571b60ca932d365","2010-10-30 20:12:32.000000","checkin","Food and alcohol. Thank God :-)","-240","3fd66200f964a52047f11ee3","Tortilla Coast","https://foursquare.com/v/tortilla-coast/3fd66200f964a52047f11ee3","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4ccc3b9b72106dcb21229a99","2010-10-30 15:36:59.000000","checkin","-240","4c92e8d09199bfb7710918df","March to Keep Fear Alive","https://foursquare.com/v/march-to-keep-fear-alive/4c92e8d09199bfb7710918df","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4ccc3b65c0378cfa48c18448","2010-10-30 15:36:05.000000","checkin","-240","4c92e8849199bfb7e20518df","Rally to Restore Sanity","https://foursquare.com/v/rally-to-restore-sanity/4c92e8849199bfb7e20518df","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4ccbe808c0378cfad14d8248","2010-10-30 09:40:24.000000","checkin","-240","4b2ea6d1f964a52057e424e3","Greyhound Bus Station","https://foursquare.com/v/greyhound-bus-station/4b2ea6d1f964a52057e424e3","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4ccb36ea566aa093bf5f19fd","2010-10-29 21:04:42.000000","checkin","-240","4ba39b0ef964a5204c4b38e3","Bernies Delicatessen & Gourmet Market","https://foursquare.com/v/bernies-delicatessen--gourmet-market/4ba39b0ef964a5204c4b38e3","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4cca347d7965b60c9f68848a","2010-10-29 02:42:05.000000","checkin","-240","4b0889cef964a520f40d23e3","Hard Times Cafe","https://foursquare.com/v/hard-times-cafe/4b0889cef964a520f40d23e3","0"
"id","createdAt","type","shout","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4cca08cdc010f04dc0a9eccc","2010-10-28 23:35:41.000000","checkin","At the College Republicans and College Democrats debate.","-240","4c113d1fd41e76b0d80e310d","Dewberry Hall","https://foursquare.com/v/dewberry-hall/4c113d1fd41e76b0d80e310d","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4cc8b771d063a143bc3f09b4","2010-10-27 23:36:17.000000","checkin","-240","4ba2c4b8f964a520b01738e3","Havabite Eatery","https://foursquare.com/v/havabite-eatery/4ba2c4b8f964a520b01738e3","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4cc4545d306e224bde779c6c","2010-10-24 15:44:29.000000","checkin","-240","4b5b90dbf964a520910729e3","Denny's","https://foursquare.com/v/dennys/4b5b90dbf964a520910729e3","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4cc1dbb2bde8f04d30ab9a4b","2010-10-22 18:45:06.000000","checkin","-240","4b0889cef964a520f40d23e3","Hard Times Cafe","https://foursquare.com/v/hard-times-cafe/4b0889cef964a520f40d23e3","0"
"id","createdAt","type","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
"4cc0796c985aa35dd3264d12","2010-10-21 17:33:32.000000","checkin","-240","4bfff882369476b0f39d8e1f","Northern Virginia Magazine","https://foursquare.com/v/northern-virginia-magazine/4bfff882369476b0f39d8e1f","0"
"id","createdAt","type","shout","timeZoneOffset","venue.id","venue.name","venue.url","comments.count"
